,Account ID,Security ID,Quantity,Price,Market Value (USD),Date,ID,Security Master DB: ISIN,Modified,Created,Approval Status,Level,Unique Id,owshiddenversion,Item Type,Effective Permissions Mask,ScopeId,URL Path,Property Bag
0,2;#2,1;#1,46323.61,0.750928090448909,34785.7,31-03-2022,101,1;#AUD/USD,2022-12-20 22:44:04,2022-12-20 22:44:04,0,1,101;#{687E50F7-CAFB-4D87-A3B0-F6DC11E4AC78},1,101;#0,0x7ffffffffffbffff,101;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},101;#sites/Carret/Lists/Portfolio Report Copy/101_.000,101;#
1,2;#2,368;#368,1284001.19,0.0,163955.65,31-03-2022,102,368;#HKD/USD,2022-12-20 22:44:05,2022-12-20 22:44:05,0,1,102;#{34A2DD18-EDDE-4083-997A-F0AD0CD1A8E4},1,102;#0,0x7ffffffffffbffff,102;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},102;#sites/Carret/Lists/Portfolio Report Copy/102_.000,102;#
2,2;#2,335;#335,0.01,0.0,0.01,31-03-2022,103,335;#GBP/USD,2022-12-20 22:44:06,2022-12-20 22:44:06,0,1,103;#{FFE5485A-669B-4141-82D4-B764ADCC5980},1,103;#0,0x7ffffffffffbffff,103;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},103;#sites/Carret/Lists/Portfolio Report Copy/103_.000,103;#
3,2;#2,86;#86,1043612.87,0.0,164397.99,31-03-2022,104,86;#CNY/USD,2022-12-20 22:44:09,2022-12-20 22:44:09,0,1,104;#{ABA5C928-9964-42C3-9BEA-7E2A367B1DA0},1,104;#0,0x7ffffffffffbffff,104;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},104;#sites/Carret/Lists/Portfolio Report Copy/104_.000,104;#
4,2;#2,603;#603,1394960.78,0.0,1394960.78,31-03-2022,105,603;#USD,2022-12-20 22:44:10,2022-12-20 22:44:10,0,1,105;#{D750E8E0-012A-4F9B-9512-2B84B1CD1D7D},1,105;#0,0x7ffffffffffbffff,105;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},105;#sites/Carret/Lists/Portfolio Report Copy/105_.000,105;#
5,2;#2,77;#77,24569.75,0.0,26699.42,31-03-2022,106,77;#CHF/USD,2022-12-20 22:44:10,2022-12-20 22:44:10,0,1,106;#{3A40D406-9E42-4A55-BE75-EFD8B614924F},1,106;#0,0x7ffffffffffbffff,106;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},106;#sites/Carret/Lists/Portfolio Report Copy/106_.000,106;#
6,2;#2,429;#429,171741.0,0.0,1414.96,31-03-2022,107,429;#JPY/USD,2022-12-20 22:44:11,2022-12-20 22:44:11,0,1,107;#{3FDE0BE3-CC70-4A26-9A17-94275543321D},1,107;#0,0x7ffffffffffbffff,107;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},107;#sites/Carret/Lists/Portfolio Report Copy/107_.000,107;#
7,2;#2,596;#596,527271.23,0.0,389605.75,31-03-2022,108,596;#SGD/USD,2022-12-20 22:44:12,2022-12-20 22:44:12,0,1,108;#{942A11B6-3216-419E-87D2-88F7F50E5F35},1,108;#0,0x7ffffffffffbffff,108;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},108;#sites/Carret/Lists/Portfolio Report Copy/108_.000,108;#
8,2;#2,603;#603,306715.77,0.0,306715.77,31-03-2022,109,603;#USD,2022-12-20 22:44:12,2022-12-20 22:44:12,0,1,109;#{1696B0C9-7CC2-40BC-AF20-BC7FE684CAF8},1,109;#0,0x7ffffffffffbffff,109;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},109;#sites/Carret/Lists/Portfolio Report Copy/109_.000,109;#
9,2;#2,345;#345,200000.0,97.85,200061.83,31-03-2022,110,345;#US064159KJ44,2022-12-20 22:44:13,2022-12-20 22:44:13,0,1,110;#{5CF1F615-9424-44E6-B9A9-A342FF958C4F},1,110;#0,0x7ffffffffffbffff,110;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},110;#sites/Carret/Lists/Portfolio Report Copy/110_.000,110;#
10,2;#2,342;#342,200000.0,100.67,202117.73,31-03-2022,111,342;#XS1662407862,2022-12-20 22:44:15,2022-12-20 22:44:15,0,1,111;#{F23B4D53-1A6C-4D03-BDEA-58563CB2B340},1,111;#0,0x7ffffffffffbffff,111;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},111;#sites/Carret/Lists/Portfolio Report Copy/111_.000,111;#
11,2;#2,49;#49,200000.0,93.44,191673.06,31-03-2022,112,49;#XS2072777381,2022-12-20 22:44:15,2022-12-20 22:44:15,0,1,112;#{92144296-BF5D-4481-9C9B-035812118D83},1,112;#0,0x7ffffffffffbffff,112;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},112;#sites/Carret/Lists/Portfolio Report Copy/112_.000,112;#
12,2;#2,347;#347,200000.0,100.06,204028.33,31-03-2022,113,347;#US98105HAF73,2022-12-20 22:44:16,2022-12-20 22:44:16,0,1,113;#{92E74538-93A7-4AE7-90B5-EC1898DE46EB},1,113;#0,0x7ffffffffffbffff,113;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},113;#sites/Carret/Lists/Portfolio Report Copy/113_.000,113;#
13,2;#2,343;#343,200000.0,99.86,203315.14,31-03-2022,114,343;#XS1598047550,2022-12-20 22:44:16,2022-12-20 22:44:16,0,1,114;#{7E22AB67-CCB0-4A06-A7D9-F30703B98ABB},1,114;#0,0x7ffffffffffbffff,114;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},114;#sites/Carret/Lists/Portfolio Report Copy/114_.000,114;#
14,2;#2,344;#344,200000.0,8.58,17150.0,31-03-2022,115,344;#XS1328315723,2022-12-20 22:44:17,2022-12-20 22:44:17,0,1,115;#{4E1681B5-C7BE-4C22-8523-1202B0FAF002},1,115;#0,0x7ffffffffffbffff,115;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},115;#sites/Carret/Lists/Portfolio Report Copy/115_.000,115;#
15,2;#2,346;#346,250000.0,97.88,246770.83,31-03-2022,116,346;#CH0400441280,2022-12-20 22:44:18,2022-12-20 22:44:18,0,1,116;#{15E1152C-D27F-4133-9C59-F82AEE18AA02},1,116;#0,0x7ffffffffffbffff,116;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},116;#sites/Carret/Lists/Portfolio Report Copy/116_.000,116;#
16,2;#2,341;#341,1.52,111546.38,169550.5,31-03-2022,117,341;#FR0011973684,2022-12-20 22:44:18,2022-12-20 22:44:18,0,1,117;#{B3813DBB-5561-4BA2-819C-E68B912D7B0A},1,117;#0,0x7ffffffffffbffff,117;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},117;#sites/Carret/Lists/Portfolio Report Copy/117_.000,117;#
17,2;#2,354;#354,46600.0,137.0,192006.08,31-03-2022,118,354;#TH0001010R16,2022-12-20 22:44:19,2022-12-20 22:44:19,0,1,118;#{8AB83AE5-7CBD-40A5-8883-1D0F7DA9E7A1},1,118;#0,0x7ffffffffffbffff,118;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},118;#sites/Carret/Lists/Portfolio Report Copy/118_.000,118;#
18,2;#2,1549;#1549,185600.0,8.4,46888.44,31-03-2022,119,1549;#TH0869010R16,2022-12-20 22:44:20,2022-12-20 22:44:20,0,1,119;#{47B8BD56-6D34-41C2-87A6-F74D30CEC27E},1,119;#0,0x7ffffffffffbffff,119;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},119;#sites/Carret/Lists/Portfolio Report Copy/119_.000,119;#
19,2;#2,1543;#1543,400000.0,24.5,294736.94,31-03-2022,120,1543;#TH0101010R14,2022-12-20 22:44:20,2022-12-20 22:44:20,0,1,120;#{A41620DC-FBEE-413F-93F6-2055CDFA98F6},1,120;#0,0x7ffffffffffbffff,120;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},120;#sites/Carret/Lists/Portfolio Report Copy/120_.000,120;#
20,2;#2,352;#352,298660.0,3.38,128900.53,31-03-2022,121,352;#HK0405033157,2022-12-20 22:44:22,2022-12-20 22:44:22,0,1,121;#{575479B9-C793-4ED2-8A7F-A1853F2BDA1C},1,121;#0,0x7ffffffffffbffff,121;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},121;#sites/Carret/Lists/Portfolio Report Copy/121_.000,121;#
21,2;#2,309;#309,85713.0,4.99,54614.53,31-03-2022,122,309;#KYG960071028,2022-12-20 22:44:23,2022-12-20 22:44:23,0,1,122;#{70FACA98-6853-452B-9852-694FC4C57E19},1,122;#0,0x7ffffffffffbffff,122;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},122;#sites/Carret/Lists/Portfolio Report Copy/122_.000,122;#
22,2;#2,339;#339,5200.0,2503.5,107256.02,31-03-2022,123,339;#JP3200450009,2022-12-20 22:44:25,2022-12-20 22:44:25,0,1,123;#{834CF07C-0AD9-4A2B-826C-E3BDD35EDDD9},1,123;#0,0x7ffffffffffbffff,123;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},123;#sites/Carret/Lists/Portfolio Report Copy/123_.000,123;#
23,2;#2,1541;#1541,17100.0,138.0,70971.45,31-03-2022,124,1541;#TH0001010014,2022-12-20 22:44:28,2022-12-20 22:44:28,0,1,124;#{123D179B-E128-4D54-B9DD-35D91F105438},1,124;#0,0x7ffffffffffbffff,124;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},124;#sites/Carret/Lists/Portfolio Report Copy/124_.000,124;#
24,2;#2,350;#350,59473.0,3.9,174173.77,31-03-2022,125,350;#AU000000TLS2,2022-12-20 22:44:28,2022-12-20 22:44:28,0,1,125;#{D6B2FEB6-8BBE-48E1-BA2A-A963E7D04054},1,125;#0,0x7ffffffffffbffff,125;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},125;#sites/Carret/Lists/Portfolio Report Copy/125_.000,125;#
25,2;#2,1544;#1544,10000.0,382.0,114887.26,31-03-2022,126,1544;#TH0003010Z12,2022-12-20 22:44:29,2022-12-20 22:44:29,0,1,126;#{AA684600-7ACC-4A08-A392-443DE7DF4B13},1,126;#0,0x7ffffffffffbffff,126;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},126;#sites/Carret/Lists/Portfolio Report Copy/126_.000,126;#
26,2;#2,351;#351,35000.0,5.01,230739.42,31-03-2022,127,351;#JE00B4T3BW64,2022-12-20 22:44:30,2022-12-20 22:44:30,0,1,127;#{04A7C13F-D190-42FE-9F9D-7651DD04A78B},1,127;#0,0x7ffffffffffbffff,127;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},127;#sites/Carret/Lists/Portfolio Report Copy/127_.000,127;#
27,2;#2,1548;#1548,100000.0,24.5,73684.24,31-03-2022,128,1548;#TH0101A10Z19,2022-12-20 22:44:31,2022-12-20 22:44:31,0,1,128;#{F06FC9E4-0735-49B5-BF8E-62BADAB33F02},1,128;#0,0x7ffffffffffbffff,128;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},128;#sites/Carret/Lists/Portfolio Report Copy/128_.000,128;#
28,2;#2,340;#340,75000.0,2.66,147412.46,31-03-2022,129,340;#SG1T75931496,2022-12-20 22:44:31,2022-12-20 22:44:31,0,1,129;#{F4B4E661-8024-499C-9B02-C7D6E8BEDEF6},1,129;#0,0x7ffffffffffbffff,129;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},129;#sites/Carret/Lists/Portfolio Report Copy/129_.000,129;#
29,2;#2,349;#349,600000.0,0.02,8110.02,31-03-2022,130,349;#AU000000SW10,2022-12-20 22:44:32,2022-12-20 22:44:32,0,1,130;#{76BC26DE-EB0D-439D-98F4-0AD06763788C},1,130;#0,0x7ffffffffffbffff,130;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},130;#sites/Carret/Lists/Portfolio Report Copy/130_.000,130;#
30,2;#2,359;#359,200000.0,19.0,114285.75,31-03-2022,131,359;#TH0450010R15,2022-12-20 22:44:34,2022-12-20 22:44:34,0,1,131;#{9F83F95B-E5C0-4436-999C-D9D91B9A54E5},1,131;#0,0x7ffffffffffbffff,131;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},131;#sites/Carret/Lists/Portfolio Report Copy/131_.000,131;#
31,2;#2,353;#353,200000.0,0.5,73890.96,31-03-2022,132,353;#SG1BH1000008,2022-12-20 22:44:34,2022-12-20 22:44:34,0,1,132;#{0FC28D96-3480-4610-AD3D-A609D080D253},1,132;#0,0x7ffffffffffbffff,132;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},132;#sites/Carret/Lists/Portfolio Report Copy/132_.000,132;#
32,2;#2,1542;#1542,1409.0,61.0,2584.93,31-03-2022,133,1542;#TH0098010Y13,2022-12-20 22:44:34,2022-12-20 22:44:34,0,1,133;#{BEB27EB8-06BB-40BF-B92D-1AA442D299FD},1,133;#0,0x7ffffffffffbffff,133;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},133;#sites/Carret/Lists/Portfolio Report Copy/133_.000,133;#
33,2;#2,336;#336,5000.0,81.57,407850.0,31-03-2022,134,336;#XD1132487384,2022-12-20 22:44:35,2022-12-20 22:44:35,0,1,134;#{E705295C-07F1-4DF1-BDD5-7E95B0B960BD},1,134;#0,0x7ffffffffffbffff,134;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},134;#sites/Carret/Lists/Portfolio Report Copy/134_.000,134;#
34,2;#2,386;#386,300.0,572.54,171763.08,31-03-2022,135,386;#XD0526193244,2022-12-20 22:44:35,2022-12-20 22:44:35,0,1,135;#{46D2F394-CCC0-4832-BD85-EAC10968112F},1,135;#0,0x7ffffffffffbffff,135;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},135;#sites/Carret/Lists/Portfolio Report Copy/135_.000,135;#
35,2;#2,337;#337,1619.29,196.35,317947.59,31-03-2022,136,337;#SHS-B ENKO AFRIC SERIES 1,2022-12-20 22:44:36,2022-12-20 22:44:36,0,1,136;#{1437317F-8E38-4C0C-9D2A-C1EEA9F9A7FC},1,136;#0,0x7ffffffffffbffff,136;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},136;#sites/Carret/Lists/Portfolio Report Copy/136_.000,136;#
36,2;#2,1935;#1935,225.39,1126.95,254001.73,31-03-2022,137,1935;#XD1160107920,2022-12-20 22:44:37,2022-12-20 22:44:37,0,1,137;#{0F1FBA3D-6B70-43F1-AA58-245B71D87171},1,137;#0,0x7ffffffffffbffff,137;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},137;#sites/Carret/Lists/Portfolio Report Copy/137_.000,137;#
37,2;#2,361;#361,1.52,18208.52,27676.95,31-03-2022,138,361;#FR0013536026,2022-12-20 22:44:38,2022-12-20 22:44:38,0,1,138;#{CEB9BEAD-AAE9-4E76-9E30-675D9552F417},1,138;#0,0x7ffffffffffbffff,138;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},138;#sites/Carret/Lists/Portfolio Report Copy/138_.000,138;#
38,8;#8,368;#368,10263.0,0.0,1310.49,31-03-2022,139,368;#HKD/USD,2022-12-20 22:44:38,2022-12-20 22:44:38,0,1,139;#{AD342504-1217-4B5F-99FD-09F644AF11A9},1,139;#0,0x7ffffffffffbffff,139;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},139;#sites/Carret/Lists/Portfolio Report Copy/139_.000,139;#
39,8;#8,603;#603,47104.82,0.0,47104.82,31-03-2022,140,603;#USD,2022-12-20 22:44:40,2022-12-20 22:44:40,0,1,140;#{3E6B35D5-CA58-43E7-8950-1D72F69DBDD4},1,140;#0,0x7ffffffffffbffff,140;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},140;#sites/Carret/Lists/Portfolio Report Copy/140_.000,140;#
40,8;#8,77;#77,11569.01,0.0,12571.79,31-03-2022,141,77;#CHF/USD,2022-12-20 22:44:41,2022-12-20 22:44:41,0,1,141;#{EE26FA46-30B5-4B7A-A8C1-5B929D8F93D9},1,141;#0,0x7ffffffffffbffff,141;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},141;#sites/Carret/Lists/Portfolio Report Copy/141_.000,141;#
41,8;#8,114;#114,6000.0,82.45,63168.83,31-03-2022,142,114;#HK0000069689,2022-12-20 22:44:43,2022-12-20 22:44:43,0,1,142;#{693B53A9-6297-42D4-8659-9D5A2AD96D6A},1,142;#0,0x7ffffffffffbffff,142;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},142;#sites/Carret/Lists/Portfolio Report Copy/142_.000,142;#
42,8;#8,125;#125,460.0,174.61,80320.6,31-03-2022,143,125;#US0378331005,2022-12-20 22:44:43,2022-12-20 22:44:43,0,1,143;#{1654345E-6779-4F50-AC98-C761448626A4},1,143;#0,0x7ffffffffffbffff,143;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},143;#sites/Carret/Lists/Portfolio Report Copy/143_.000,143;#
43,8;#8,133;#133,157.0,115.65,18157.05,31-03-2022,144,133;#US70450Y1038,2022-12-20 22:44:45,2022-12-20 22:44:45,0,1,144;#{39F68023-BF14-412A-A26F-86479A5714A5},1,144;#0,0x7ffffffffffbffff,144;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},144;#sites/Carret/Lists/Portfolio Report Copy/144_.000,144;#
44,8;#8,578;#578,69.0,357.38,24659.22,31-03-2022,145,578;#US57636Q1040,2022-12-20 22:44:45,2022-12-20 22:44:45,0,1,145;#{E63BA3B2-BCCD-4EB2-94D3-F994EC848475},1,145;#0,0x7ffffffffffbffff,145;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},145;#sites/Carret/Lists/Portfolio Report Copy/145_.000,145;#
45,8;#8,1351;#1351,250.0,0.0,0.0,31-03-2022,146,1351;#US471ESC0121,2022-12-20 22:44:47,2022-12-20 22:44:47,0,1,146;#{0E60A5F2-0317-47A2-8337-DB391F84F800},1,146;#0,0x7ffffffffffbffff,146;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},146;#sites/Carret/Lists/Portfolio Report Copy/146_.000,146;#
46,8;#8,518;#518,187.0,222.36,41581.32,31-03-2022,147,518;#US30303M1027,2022-12-20 22:44:47,2022-12-20 22:44:47,0,1,147;#{79FC091F-9525-4FFE-B553-C21187E05E45},1,147;#0,0x7ffffffffffbffff,147;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},147;#sites/Carret/Lists/Portfolio Report Copy/147_.000,147;#
47,8;#8,73;#73,900.0,371.4,42682.06,31-03-2022,148,73;#HK0388045442,2022-12-20 22:44:47,2022-12-20 22:44:47,0,1,148;#{C0002CE8-BB39-406A-850D-E21AF1C5768D},1,148;#0,0x7ffffffffffbffff,148;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},148;#sites/Carret/Lists/Portfolio Report Copy/148_.000,148;#
48,8;#8,134;#134,105.0,221.77,23285.85,31-03-2022,149,134;#US92826C8394,2022-12-20 22:44:48,2022-12-20 22:44:48,0,1,149;#{7B7919EA-64FF-4B72-9AC6-E55F0412C5FC},1,149;#0,0x7ffffffffffbffff,149;#{B1EDDC57-0D25-449E-8C7B-44E2C6FB31BA},149;#sites/Carret/Lists/Portfolio Report Copy/149_.000,149;#
